尠	鲜
尷	尴
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
屬	属
岅	坂
岡	冈
峝	峒
峩	峨
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崐	昆
崑	昆
崗	岗
崘	仑
崙	仑
崢	峥
崬	岽
嵐	岚
嵒	岩
嵗	岁
嵽	𫶇
嶁	嵝
嶃	崭
嶄	崭
嶇	岖
嶔	嵚
嶗	崂
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶸	嵘
嶺	岭
嶼	屿
嶽	岳
巋	岿
巒	峦
巔	巅
巖	岩
巗	岩
巘	𪩘
巰	巯
巵	卮
巹	卺
帀	匝
帋	纸
帥	帅
師	师
帬	裙
帳	帐
帶	带
幀	帧
幃	帏
幇	帮
幑	徽
幗	帼
幘	帻
幙	幕
幚	帮
幟	帜
幣	币
幫	帮
幬	帱
幹	干
幾	几
庫	库
庻	庶
庽	寓
廁	厕
廂	厢
廄	厩
廈	厦
廎	庼
廐	厩
廕	荫
廚	厨
廝	厮
廞	𫷷
廟	庙
廠	厂
廡	庑
廢	废
廣	广
廩	廪
廬	庐
廳	厅
廵	巡
廹	迫
廻	回
廼	乃
弒	弑
弔	吊
張	张
強	强
彄	𫸩
彆	别
彈	弹
彊	强
彌	弥
彎	弯
彔	录
彙	汇
彠	彟
彥	彦
彫	雕
彷	彷 仿
彿	佛
徃	往
後	后
徑	径
從	从
徠	徕
徧	遍
復	复
徵	征 徵
徹	彻
怱	匆
怳	恍
恆	恒
恠	怪
恡	吝
恥	耻
悅	悦
悤	匆
悵	怅
悶	闷
悽	凄
惏	婪
惡	恶
惥	恿
惪	德
惱	恼
惲	恽
惷	蠢
惻	恻
愛	爱
愜	惬
愨	悫
愬	诉
愴	怆
愷	恺
愽	博
愾	忾
慂	恿
慄	栗
慇	殷
態	态
慍	愠
慘	惨
慙	惭
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慴	慑
慶	庆
慼	戚
慽	戚
慾	欲
憂	忧
憇	憩
憊	惫
憐	怜
憑	凭
憒	愦
憖	慭
憚	惮
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
懃	勤
懇	恳
應	应
懌	怿
懍	懔
懞	蒙
懟	怼
懣	懑
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懽	欢
懾	慑
戀	恋
戇	戆
戔	戋
戞	戛
戧	戗
戩	戬
戯	戏
戰	战
戲	戏
戶	户
戹	厄
戼	卯
扞	捍 扞
抝	拗
拋	抛
拏	拿
拕	拖
挐	拿
挱	挲
挵	弄
挾	挟
捄	救
捨	舍
捫	扪
捱	挨
捲	卷
掃	扫
掄	抡
掙	挣
掛	挂
採	采
掽	碰
揀	拣
揑	捏
揚	扬
換	换
揫	揪
揮	挥
揷	插
揹	背
搆	构
搇	揿
搉	榷
損	损
搖	摇
搗	捣
搤	扼
搥	捶
搨	拓
搯	掏
搶	抢
搾	榨
摃	扛
摑	掴
摜	掼
摟	搂
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
撏	挦
撐	撑
撓	挠
撝	㧑
撣	掸
撥	拨
撦	扯
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
擕	携
據	据
擠	挤
擣	捣
擧	举
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擾	扰
攄	摅
攆	撵
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攩	挡
攪	搅
攬	揽
攷	考
敂	叩
敍	叙
敎	教
敗	败
敘	叙
敭	扬
敵	敌
數	数
敺	驱
